KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42018";".1/1";"";1;"01";"";"*";153;;"10288/2012/42";"GFT20";"42018";300
"42018";".1/2";"";1;"01";"";"";23;;"10288/2012/42";"GFT20";"42018";316
"42018";".1/3";"";1;"01";"";"";19;;"10288/2012/42";"GFT20";"42018";316
"42018";".3";"";1;"01";"";"";201;;"10288/2012/42";"GFT20";"42018";298
"42018";".5";"";1;"01";"";"";126;;"10288/2012/42";"GFT20";"42018";311
"42018";".6/2";"";1;"01";"";"";80;;"10288/2012/42";"GFT20";"42018";296
"42018";".7/1";"";1;"01";"T";"*";166;;"10288/2012/42";"GFT20";"42018";295
"42018";".7/1";"";1;"02";"T";"*";2;;"10288/2012/42";"GFT20";"42018";295
"42018";".7/2";"";1;"01";"";"";478;;"10288/2012/42";"GFT20";"42018";295
"42018";".8/1";"";1;"01";"";"";129;;"10288/2012/42";"GFT20";"42018";295
"42018";".8/2";"";1;"01";"";"*";141;;"10288/2012/42";"GFT20";"42018";394
"42018";".9/1";"";1;"01";"";"";239;;"10288/2012/42";"GFT20";"42018";294
"42018";".10/1";"";1;"01";"";"";11;;"10288/2012/42";"GFT20";"42018";294
"42018";".12";"";1;"01";"T";"";163;;"10288/2012/42";"GFT20";"42018";386
"42018";".12";"";3;"01";"T";"";393;;"10288/2012/42";"GFT20";"42018";386
"42018";".16/1";"";1;"01";"";"";156;;"10288/2012/42";"GFT20";"42018";696
"42018";".16/3";"";1;"01";"";"";89;;"10288/2012/42";"GFT20";"42018";848
"42018";".16/4";"";1;"01";"";"";30;;"10288/2012/42";"GFT20";"42018";848
"42018";".16/5";"";1;"01";"";"";91;;"10288/2012/42";"GFT20";"42018";848
"42018";".17";"";1;"01";"";"";184;;"10288/2012/42";"GFT20";"42018";299
"42018";".18/1";"G";1;"01";"T";"*";203;;"688/2017/42";"GFT4";"42018";711
"42018";".18/1";"G";3;"01";"T";"*";153;;"688/2017/42";"GFT4";"42018";711
"42018";".19";"";1;"01";"";"";10;;"10288/2012/42";"GFT20";"42018";804
"42018";".20";"";1;"01";"";"";253;;"10288/2012/42";"GFT20";"42018";305
"42018";".21";"";1;"01";"";"";88;;"10288/2012/42";"GFT20";"42018";343
"42018";".22/2";"";1;"01";"";"";157;;"10288/2012/42";"GFT20";"42018";312
"42018";".23";"";1;"01";"";"";153;;"10288/2012/42";"GFT20";"42018";308
"42018";".25";"";1;"01";"";"";23;;"10288/2012/42";"GFT20";"42018";286
"42018";".26";"";1;"01";"";"";98;;"10288/2012/42";"GFT20";"42018";286
"42018";".27/1";"";2;"01";"";"";132;;"285/2014/42";"GFT20";"42018";286
